compound_name	CURATE_species	CURATE_publication_doi	n_spectra	max_peaks	in_export	missing	needs_structure_too	formula	compound_class	inchikey	smiles	name_variants
Hypholomin B			7	897	P3+P4	species;publication		C26H18O10	Shikimates and Phenylpropanoids	CGMQDMKDINCGOB-UHFFFAOYSA-N	C(=C(C1=CC2=C(C(C3=CC(=CC(=O)O3)O)C(C=4C=CC(=C(C4)O)O)O2)C(=O)O1)[H])(C=5C=CC(=C(C5)O)O)[H]	
(6R9S)-Cyclo(phenylalanylprolyl)			6	55	P4	species;publication;structure	YES	C14H16N2O2		QZBUWPVZSXDWSB-UHFFFAOYSA-N		
14-Hydroxy-dihydropleurotinic acid			6	489	P3+P4	species;publication;structure	YES	C21H24O6		SUXBYGIWCZZVIR-FJKCABEUSA-N		
4'7-Dihydroxyisoflavone			6	253	P4	species;publication		C15H10O4	Shikimates and Phenylpropanoids	ZQSIJRDFPHDXIC-UHFFFAOYSA-N	C=1C=C(C=CC1C2=COC=3C=C(C=CC3C2=O)O)O	
6-Hyxdroxy-3a,5,5,8-tetramethyl-3,3a4,5tetrahydrat			6	101	P3	species;publication;structure	YES	C15H18O3		N/A		
Aethiopinolone E			6	131	P3	species;publication;structure	YES	C21H26O4		REURLLABAXJJPQ-RDWZXKLLSA-N		
Alternariol monomethyl ether			6	661	P3+P4	species;publication		C15H12O5	Shikimates and Phenylpropanoids	LCSDQFNUYFTXMT-UHFFFAOYSA-N	CC1=CC(=CC2=C1C=3C=C(C=C(C3C(=O)O2)O)OC)O	
Beauverolide S			6	38	P3+P4	species;publication;structure	YES	C21H37N3O5		N/A		
CAS: 24179-83-7			6	226	P3+P4	species;publication;structure	YES	C15H22O3		IFXUIBDOUVPQHB-TYNCELHUSA-N		
Cytochalasin J4			6	80	P3+P4	species;publication;structure	YES	C28H35NO3		N/A		
Cytochalasin RKS-1778			6	14	P3+P4	species;publication;structure	YES	C30H39NO4		N/A		
Deacetyl 19,20-epoxycytochalasin C			6	4	P3+P4	species;publication		C28H35NO6		PJQNNAWRTWTXKU-GCRHBUKQSA-N	C[C@H]1C/C=C/[C@H]2[C@@H](C(=C([C@@H]3[C@@]2([C@@H]([C@@H]4[C@H](O4)[C@@](C1=O)(C)O)O)C(=O)N[C@H]3CC5=CC=CC=C5)C)C)O	
Epoxycytochalasin C1			6	53	P3+P4	species;publication;structure	YES	C30H37NO8		N/A		
Heimionone A			6	158	P3+P4	species;publication;structure	YES	C22H28O5		KXBIRHKIESBHKT-QHBQVUQKSA-N		
Laetiporin B			6	964	P4	species;publication;structure	YES	C34H52O7		MDPWBYGDZIOSBE-PWUJMTERSA-N		
Microshaeropsone A			6	168	P3+P4	species;publication;structure	YES	C16H14O8		WSFQFDPAWTWVMC-CZUORRHYSA-N		
Palmarumycin C3-5.8-quinone			6	128	P3+P4	species;publication;structure	YES	C20H10O6		OJAVNHSKBHEAOA-RTBURBONSA-N		
Pseurotin D			6	338	P3+P4	species;publication		C22H25NO8		GZAYJWNDYQINEI-OLSIJDASSA-N	CCC(C=C[C@@H](C1=C(C(=O)[C@@]2(O1)[C@H]([C@@](NC2=O)(C(=O)C3=CC=CC=C3)OC)O)C)O)O	
10-Hydroxy-5-methoxy-6-chloroarmillane			5	12	P3+P4	species;publication;structure	YES	C22H27ClO8		N/A		
Akanthopyrone D			5	252	P4	species;publication;structure	YES	C23H38O10		SIWDDRXALXNKAS-IQBSQLKFSA-N		
Beauverolide M			5	56	P3+P4	species;publication;structure	YES	C23H41N3O5		N/A		
Brasilan E			5	131	P3	species;publication;structure	YES	C23H37NO8		PLACAFVTIFFMKX-YKBJNMKISA-N		
Ergokonin B			5	590	P3+P4	species;publication		C28H42O5		OVRATKCWDGNQGC-IASYKOOYSA-N	C[C@H](/C=C/[C@H](C)C(C)C)C1CCC2=C3[C@H](C4[C@@]5(O4)C[C@H](CC[C@@]5(C3CC[C@]12C(=O)O)C)OC(=O)[C@H]([C@H](C(C)C)OS(=O)(=O)O)N)O	
Heimionone C			5	285	P4	species;publication;structure	YES	C22H30O4		SKWBHOVTDDABNY-HLNPCMAPSA-N		
Multiformin E			5	20	P3+P4	species;publication;structure	YES	C24H28O7		N/A		
Papyracillic acid A			5	244	P3+P4	species;publication		C11H14O5		UEYMIBGYKZFDMD-MQOMDTIOSA-N	C[C@H]1C(=C)[C@]2(C(=CC(=O)O2)OC)O[C@@]1(C)O	
(R)-Semixanthomegnin			4	314	P4	species;publication;structure	YES	C15H12O6		YPJWDOQDLYENRC-ZCFIWIBFSA-N		
