species	note
Unknown-bacterium sp.	unresolved NCBI taxonomy (kept in DB, excluded from tree)
Unknown-fungus sp.	unresolved NCBI taxonomy (kept in DB, excluded from tree)
Unknown-fungus sp., KL-1.1	unresolved NCBI taxonomy (kept in DB, excluded from tree)
